term1,term2,itis_id,mesh_disease,is_cause,is_treat,relation
allium cepa,asthma,42720.0,MESH:D001249,3,0,cause
allium cepa,dermatitis,42720.0,MESH:D003872,3,0,cause
allium sativum,dermatitis,42652.0,MESH:D003872,2,0,cause
apple,dermatitis,25262.0,MESH:D003872,4,0,cause
banana,asthma,42390.0,MESH:D001249,6,0,cause
banana,hypersensitivity,42390.0,MESH:D006967,10,0,cause
banana,pancreatitis,42390.0,MESH:D010195,3,0,cause
banana,rhinitis,42390.0,MESH:D012220,11,0,cause
barley,Celiac Disease,40874.0,MESH:D002446,12,0,cause
barley,Celiac disease,40874.0,MESH:D002446,83,0,cause
barley,anaemia,40874.0,MESH:D000740,11,0,cause
barley,asthma,40874.0,MESH:D001249,4,0,cause
barley,celiac disease,40874.0,MESH:D002446,7,0,cause
barley,coeliac disease,40874.0,MESH:D002446,6,0,cause
barley,dermatitis,40874.0,MESH:D003872,18,0,cause
barley,osteoporosis,40874.0,MESH:D010024,11,0,cause
carrot,dermatitis,524846.0,MESH:D003872,4,0,cause
chestnut,hypersensitivity,19451.0,MESH:D006967,6,0,cause
chicken,obesity,176086.0,MESH:D009765,2,0,cause
chicory,asthma,36763.0,MESH:D001249,4,0,cause
cinnamon,dermatitis,18174.0,MESH:D003872,3,0,cause
cinnamon,hepatitis,18174.0,MESH:D006521,4,0,cause
cinnamon,hypersensitivity,18174.0,MESH:D006967,10,0,cause
cinnamon,stomatitis,18174.0,MESH:D013280,19,0,cause
cinnamon,telangiectasia,18174.0,MESH:D013684,3,0,cause
coffee,acne,35189.0,MESH:D000152,33,0,cause
corn,dermatitis,42269.0,MESH:D003872,11,0,cause
corn,rhinitis,42269.0,MESH:D012220,3,0,cause
garlic,dermatitis,42652.0,MESH:D003872,19,0,cause
garlic,hemolytic anemia,42652.0,MESH:D000743,5,0,cause
garlic,hypersensitivity,42652.0,MESH:D006967,10,0,cause
garlic,rhinitis,42652.0,MESH:D012220,18,0,cause
hordeum vulgare,asthma,40874.0,MESH:D001249,2,0,cause
horseradish,hypersensitivity,23044.0,MESH:D006967,50,0,cause
lemon,endophthalmitis,28885.0,MESH:D009877,3,0,cause
lemon,hypersensitivity,28885.0,MESH:D006967,5,0,cause
papaya,hypersensitivity,22324.0,MESH:D006967,2,0,cause
peanut,atopic dermatitis,26463.0,MESH:D003876,3,0,cause
phaseolus vulgaris,diarrhoea,26857.0,MESH:D004403,6,0,cause
phaseolus vulgaris,gastroenteritis,26857.0,MESH:D005759,3,0,cause
potato,asthma,505272.0,MESH:D001249,2,0,cause
potato,dermatitis,505272.0,MESH:D003872,8,0,cause
rabbit,atopic dermatitis,180110.0,MESH:D003876,3,0,cause
rice,asthma,41976.0,MESH:D001249,6,0,cause
rosemary,asthma,32677.0,MESH:D001249,3,0,cause
rye,Celiac Disease,42090.0,MESH:D002446,6,0,cause
rye,Celiac disease,42090.0,MESH:D002446,22,0,cause
rye,celiac disease,42090.0,MESH:D002446,13,0,cause
rye,coeliac disease,42090.0,MESH:D002446,6,0,cause
rye,dermatitis,42090.0,MESH:D003872,7,0,cause
tea,acne,506801.0,MESH:D000152,9,0,cause
triticum aestivum,Celiac disease,42237.0,MESH:D002446,5,0,cause
turkey,Gastric cancer,176136.0,MESH:D013274,7,0,cause
turkey,Hypertension,176136.0,MESH:D006973,7,0,cause
vanilla,telangiectasia,43714.0,MESH:D013684,3,0,cause
wasabi,hypersensitivity,506210.0,MESH:D006967,10,0,cause
wheat,Celiac Disease,42236.0,MESH:D002446,6,0,cause
wheat,Celiac disease,42236.0,MESH:D002446,60,0,cause
wheat,Coeliac disease,42236.0,MESH:D002446,6,0,cause
wheat,asthma,42236.0,MESH:D001249,2,0,cause
wheat,coeliac disease,42236.0,MESH:D002446,13,0,cause
wheat,dermatitis,42236.0,MESH:D003872,11,0,cause
wheat,eczema,42236.0,MESH:D003872,9,0,cause
wheat,irritable bowel syndrome,42236.0,MESH:D043183,2,0,cause
wheat,osteoporosis,42236.0,MESH:D010024,11,0,cause
