term1,term2,ncbi_taxonomy_id,entity_id_y,is_cause,is_treat,relation
allium,cancers,4678.0,DOID:162,0,6,treat
allium,colorectal cancer,4678.0,DOID:9256,0,6,treat
allium,gastric cancer,4678.0,DOID:10534,0,10,treat
allium,prostate cancer,4678.0,DOID:10283,0,9,treat
allium,stomach cancer,4678.0,DOID:10534,0,6,treat
allium cepa,breast cancer,4679.0,DOID:1612,0,4,treat
allium sativum,anemia,4682.0,DOID:2355,0,2,treat
allium sativum,asthma,4682.0,DOID:2841,0,6,treat
allium sativum,atherosclerosis,4682.0,DOID:1936,0,2,treat
allium sativum,bladder cancer,4682.0,DOID:11054,0,3,treat
allium sativum,cancers,4682.0,DOID:162,0,17,treat
allium sativum,diabetes,4682.0,DOID:9351,0,8,treat
allium sativum,dyslipidemia,4682.0,DOID:3146,0,2,treat
allium sativum,gastric cancer,4682.0,DOID:10534,0,5,treat
allium sativum,hypertension,4682.0,DOID:10763,0,5,treat
allium sativum,kidney diseases,4682.0,DOID:557,0,4,treat
allium sativum,liver diseases,4682.0,DOID:409,0,4,treat
allium sativum,malaria,4682.0,DOID:12365,0,4,treat
allium sativum,measles,4682.0,DOID:8622,0,2,treat
allium sativum,neoplasm,4682.0,DOID:14566,0,2,treat
allium sativum,syphilis,4682.0,DOID:4166,0,2,treat
allium sativum,yellow fever,4682.0,DOID:9682,0,2,treat
annona muricata,cancers,13337.0,DOID:162,0,4,treat
annona muricata,prostate cancer,13337.0,DOID:10283,0,4,treat
annona muricata,tuberculosis,13337.0,DOID:399,0,4,treat
annona muricata,urinary tract infections,13337.0,DOID:13148,0,4,treat
apium graveolens,hypertension,4045.0,DOID:10763,0,3,treat
apple,hypertension,283210.0,DOID:10763,0,8,treat
asparagus,liver cancer,4686.0,DOID:3571,0,18,treat
avena sativa,atopic dermatitis,4498.0,DOID:3310,0,2,treat
banana,hypertension,4641.0,DOID:10763,0,8,treat
brassica oleracea,prostate cancer,3712.0,DOID:10283,0,4,treat
breadfruit,diabetes,194251.0,DOID:9351,0,2,treat
broccoli,breast cancer,36774.0,DOID:1612,0,4,treat
broccoli,cancers,36774.0,DOID:162,0,5,treat
broccoli,cervical cancer,36774.0,DOID:4362,0,2,treat
broccoli,colon cancer,36774.0,DOID:219,0,4,treat
broccoli,diabetes,36774.0,DOID:9351,0,5,treat
broccoli,mammary tumors,36774.0,DOID:1612,0,4,treat
broccoli,neurodegenerative diseases,36774.0,DOID:1289,0,5,treat
cabbage,arthritis,3716.0,DOID:848,0,2,treat
cabbage,breast cancer,3716.0,DOID:1612,0,3,treat
cabbage,cervical cancer,3716.0,DOID:4362,0,2,treat
camellia sinensis,colorectal cancer,4442.0,DOID:9256,0,4,treat
camellia sinensis,diabetes,4442.0,DOID:9351,0,5,treat
camellia sinensis,hypertension,4442.0,DOID:10763,0,2,treat
camellia sinensis,obesity,4442.0,DOID:9970,0,3,treat
capsicum,cancers,4071.0,DOID:162,0,15,treat
capsicum,hypertension,4071.0,DOID:10763,0,3,treat
capsicum,psoriasis,4071.0,DOID:8893,0,2,treat
capsicum annuum,anemia,4072.0,DOID:2355,0,12,treat
capsicum annuum,asthma,4072.0,DOID:2841,0,12,treat
capsicum annuum,measles,4072.0,DOID:8622,0,12,treat
capsicum annuum,syphilis,4072.0,DOID:4166,0,12,treat
cauliflower,arthritis,3715.0,DOID:848,0,2,treat
chives,colorectal cancer,74900.0,DOID:9256,0,5,treat
chives,prostate cancer,74900.0,DOID:10283,0,18,treat
cichorium intybus,type 2 diabetes mellitus,13427.0,DOID:9352,0,3,treat
cinnamomum,diabetes,13428.0,DOID:9351,0,2,treat
cinnamomum,gastritis,13428.0,DOID:4029,0,2,treat
cinnamomum,type 2 diabetes mellitus,13428.0,DOID:9352,0,6,treat
cinnamon,Alzheimer's disease,13428.0,DOID:10652,0,10,treat
cinnamon,diabetes,13428.0,DOID:9351,0,34,treat
cinnamon,diabetes mellitus,13428.0,DOID:9351,0,18,treat
cinnamon,diabetes mellitus type 2,13428.0,DOID:0111099;DOID:9352,0,2,treat
cinnamon,diarrhea,13428.0,DOID:13250,0,3,treat
cinnamon,gastric diseases,13428.0,DOID:76,0,3,treat
cinnamon,glucose intolerance,13428.0,DOID:10603,0,6,treat
cinnamon,metabolic syndrome,13428.0,DOID:0014667,0,21,treat
cinnamon,neurodegenerative diseases,13428.0,DOID:1289,0,40,treat
cinnamon,obesity,13428.0,DOID:9970,0,6,treat
cinnamon,type 2 diabetes,13428.0,DOID:9352,0,63,treat
cinnamon,type 2 diabetes mellitus,13428.0,DOID:9352,0,6,treat
cinnamon,type-2 diabetes,13428.0,DOID:9352,0,7,treat
citrus maxima,hypertension,37334.0,DOID:10763,0,2,treat
coconut,atopic dermatitis,13894.0,DOID:3310,0,10,treat
coffee,adenomas,13442.0,DOID:657,0,2,treat
coffee,alcoholic liver cirrhosis,13442.0,DOID:14018,0,2,treat
coffee,atherosclerosis,13442.0,DOID:1936,0,12,treat
coffee,diabetes,13442.0,DOID:9351,0,5,treat
coffee,gastric cancer,13442.0,DOID:10534,0,4,treat
coffee,gout,13442.0,DOID:13189,0,3,treat
coffee,hyperuricemia,13442.0,DOID:1920,0,2,treat
coffee,liver disease,13442.0,DOID:409,0,4,treat
coffee,nonalcoholic steatohepatitis,13442.0,DOID:0080547,0,4,treat
coffee,obesity,13442.0,DOID:9970,0,4,treat
coffee,type 2 diabetes,13442.0,DOID:9352,0,4,treat
coriander,neurodegenerative diseases,4047.0,DOID:1289,0,8,treat
corn,celiac disease,4577.0,DOID:10608,0,6,treat
corn,hypertension,4577.0,DOID:10763,0,8,treat
corn,neural tube defects,4577.0,DOID:0080074,0,5,treat
crocus sativus,asthma,82528.0,DOID:2841,0,2,treat
crocus sativus,cancers,82528.0,DOID:162,0,15,treat
cucurbita,alopecia,3660.0,DOID:987,0,2,treat
curcuma longa,asthma,136217.0,DOID:2841,0,4,treat
curcuma longa,cancers,136217.0,DOID:162,0,15,treat
curcuma longa,diabetes,136217.0,DOID:9351,0,10,treat
curcuma longa,heart diseases,136217.0,DOID:114,0,4,treat
curcuma longa,hepatic disorders,136217.0,DOID:409,0,5,treat
curcuma longa,hyperglycemia,136217.0,DOID:4195,0,5,treat
curcuma longa,neurodegenerative diseases,136217.0,DOID:1289,0,2,treat
curcuma longa,obesity,136217.0,DOID:9970,0,5,treat
curcuma longa,rheumatoid arthritis,136217.0,DOID:7148,0,2,treat
curcuma longa,sinusitis,136217.0,DOID:0050127,0,5,treat
diospyros,impotence,13492.0,DOID:1875,0,2,treat
fenugreek,diabetes,78534.0,DOID:9351,0,5,treat
fenugreek,type 2 diabetes,78534.0,DOID:9352,0,9,treat
ficus carica,constipation,3494.0,DOID:2089,0,3,treat
garcinia mangostana,diarrhea,58228.0,DOID:13250,0,2,treat
garlic,DSs,4682.0,DOID:0111777;DOID:0050125,0,8,treat
garlic,arteriosclerosis,4682.0,DOID:2349,0,4,treat
garlic,atherosclerosis,4682.0,DOID:1936,0,23,treat
garlic,breast cancer,4682.0,DOID:1612,0,17,treat
garlic,cancers,4682.0,DOID:162,0,50,treat
garlic,colon cancer,4682.0,DOID:219,0,10,treat
garlic,colorectal adenocarcinoma,4682.0,DOID:0050861,0,4,treat
garlic,colorectal cancer,4682.0,DOID:9256,0,8,treat
garlic,diabetes,4682.0,DOID:9351,0,20,treat
garlic,dyslipidemia,4682.0,DOID:3146,0,3,treat
garlic,eclampsia,4682.0,DOID:13593,0,2,treat
garlic,gastric cancer,4682.0,DOID:10534,0,8,treat
garlic,gingivitis,4682.0,DOID:3087,0,3,treat
garlic,hepatoma,4682.0,DOID:684,0,3,treat
garlic,hyperglycemia,4682.0,DOID:4195,0,2,treat
garlic,hypertension,4682.0,DOID:10763,0,29,treat
garlic,kidney diseases,4682.0,DOID:557,0,4,treat
garlic,liver cancer,4682.0,DOID:3571,0,18,treat
garlic,liver diseases,4682.0,DOID:409,0,4,treat
garlic,malaria,4682.0,DOID:12365,0,4,treat
garlic,mammary cancer,4682.0,DOID:1612,0,14,treat
garlic,metabolic diseases,4682.0,DOID:0014667,0,3,treat
garlic,myocardial infarction,4682.0,DOID:5844,0,2,treat
garlic,neurodegenerative diseases,4682.0,DOID:1289,0,8,treat
garlic,periodontal diseases,4682.0,DOID:3388,0,3,treat
garlic,prostate cancer,4682.0,DOID:10283,0,19,treat
garlic,renal hypertension,4682.0,DOID:1073,0,2,treat
garlic,stroke,4682.0,DOID:6713,0,6,treat
garlic,thrombosis,4682.0,DOID:0060903,0,3,treat
ginger,Alzheimer's disease,94328.0,DOID:10652,0,9,treat
ginger,CRF,94328.0,DOID:784,0,3,treat
ginger,adenomas,94328.0,DOID:657,0,5,treat
ginger,analgesia,94328.0,DOID:0060145,0,2,treat
ginger,arthritis,94328.0,DOID:848,0,4,treat
ginger,asthma,94328.0,DOID:2841,0,7,treat
ginger,bronchitis,94328.0,DOID:6132,0,3,treat
ginger,cancers,94328.0,DOID:162,0,33,treat
ginger,chronic kidney diseases,94328.0,DOID:784,0,3,treat
ginger,colon cancer,94328.0,DOID:219,0,2,treat
ginger,colorectal cancer,94328.0,DOID:9256,0,9,treat
ginger,constipation,94328.0,DOID:2089,0,14,treat
ginger,diabetes,94328.0,DOID:9351,0,26,treat
ginger,diabetes mellitus,94328.0,DOID:9351,0,6,treat
ginger,diarrhea,94328.0,DOID:13250,0,17,treat
ginger,diarrhoea,94328.0,DOID:13250,0,9,treat
ginger,dysentery,94328.0,DOID:12384,0,3,treat
ginger,gastrointestinal disease,94328.0,DOID:77,0,3,treat
ginger,gastrointestinal diseases,94328.0,DOID:77,0,2,treat
ginger,gastrointestinal disorders,94328.0,DOID:77,0,3,treat
ginger,heart diseases,94328.0,DOID:114,0,4,treat
ginger,hepatic disorders,94328.0,DOID:409,0,5,treat
ginger,hyperglycemia,94328.0,DOID:4195,0,5,treat
ginger,hypertension,94328.0,DOID:10763,0,13,treat
ginger,infectious diseases,94328.0,DOID:0050117,0,4,treat
ginger,inflammatory bowel diseases,94328.0,DOID:0050589,0,2,treat
ginger,irritable bowel syndrome,94328.0,DOID:9778,0,9,treat
ginger,liver cancer,94328.0,DOID:3571,0,9,treat
ginger,migraine,94328.0,DOID:6364,0,8,treat
ginger,motion sickness,94328.0,DOID:2951,0,12,treat
ginger,mucositis,94328.0,DOID:0080178,0,3,treat
ginger,neurodegenerative diseases,94328.0,DOID:1289,0,32,treat
ginger,obesity,94328.0,DOID:9970,0,14,treat
ginger,sinusitis,94328.0,DOID:0050127,0,5,treat
ginkgo biloba,asthma,3311.0,DOID:2841,0,4,treat
ginseng,amnesia,4054.0,DOID:10914,0,2,treat
ginseng,dementia,4054.0,DOID:1307,0,2,treat
ginseng,diabetes,4054.0,DOID:9351,0,15,treat
ginseng,hyperglycemia,4054.0,DOID:4195,0,2,treat
ginseng,hypertension,4054.0,DOID:10763,0,3,treat
ginseng,metabolic diseases,4054.0,DOID:0014667,0,2,treat
ginseng,migraine,4054.0,DOID:6364,0,3,treat
ginseng,obesity,4054.0,DOID:9970,0,4,treat
ginseng,stroke,4054.0,DOID:6713,0,2,treat
ginseng,type 2 diabetes,4054.0,DOID:9352,0,22,treat
glycine max,osteoporosis,3847.0,DOID:11476,0,2,treat
gossypium,diarrhea,3633.0,DOID:13250,0,2,treat
grape,atherosclerosis,3603.0,DOID:1936,0,3,treat
grape,colon cancer,3603.0,DOID:219,0,11,treat
grape,diabetes,3603.0,DOID:9351,0,2,treat
grape,mammary tumor,3603.0,DOID:1612,0,2,treat
grape,prostate cancer,3603.0,DOID:10283,0,2,treat
grapefruit,Parkinson's disease,37656.0,DOID:14330,0,3,treat
grapefruit,hypertension,37656.0,DOID:10763,0,5,treat
hibiscus sabdariffa,diabetes,183260.0,DOID:9351,0,3,treat
hibiscus sabdariffa,hypertension,183260.0,DOID:10763,0,7,treat
hibiscus sabdariffa,obesity,183260.0,DOID:9970,0,2,treat
ipomoea batatas,hyperglycemia,4120.0,DOID:4195,0,4,treat
ipomoea batatas,type 2 diabetes,4120.0,DOID:9352,0,4,treat
ipomoea batatas,type 2 diabetes mellitus,4120.0,DOID:9352,0,3,treat
kiwi,hypertension,3625.0,DOID:10763,0,8,treat
lemon,Alzheimer's disease,2708.0,DOID:10652,0,3,treat
lemon,allergic rhinitis,2708.0,DOID:4481,0,2,treat
lemon,asthma,2708.0,DOID:2841,0,2,treat
lemon,gastritis,2708.0,DOID:4029,0,2,treat
lemon,gastroesophageal reflux,2708.0,DOID:8534,0,2,treat
lemon,pneumonia,2708.0,DOID:552,0,10,treat
lemon,pulmonary fibrosis,2708.0,DOID:3770,0,10,treat
lentils,type 2 diabetes,3864.0,DOID:9352,0,4,treat
linum usitatissimum,migraine,4006.0,DOID:6364,0,3,treat
lupinus albus,celiac disease,3870.0,DOID:10608,0,2,treat
mangifera indica,asthma,29780.0,DOID:2841,0,2,treat
millet,diabetes mellitus,4540.0,DOID:9351,0,4,treat
momordica charantia,diabetes,3673.0,DOID:9351,0,2,treat
momordica charantia,hyperglycemia,3673.0,DOID:4195,0,4,treat
mulberry,dyslipidemia,3497.0,DOID:3146,0,3,treat
mulberry,obesity,3497.0,DOID:9970,0,3,treat
oat,diabetes,4498.0,DOID:9351,0,16,treat
opuntia,diabetes,106975.0,DOID:9351,0,2,treat
opuntia,diabetes mellitus,106975.0,DOID:9351,0,5,treat
oryza sativa,celiac disease,4530.0,DOID:10608,0,2,treat
oryza sativa,diabetes,4530.0,DOID:9351,0,3,treat
panax,alopecia,4054.0,DOID:987,0,2,treat
panax,amnesia,4054.0,DOID:10914,0,2,treat
panax,dementia,4054.0,DOID:1307,0,3,treat
panax,diabetes,4054.0,DOID:9351,0,2,treat
panax,hyperglycemia,4054.0,DOID:4195,0,3,treat
panax,hypertension,4054.0,DOID:10763,0,3,treat
panax,metabolic diseases,4054.0,DOID:0014667,0,2,treat
panax,migraine,4054.0,DOID:6364,0,3,treat
panax,obesity,4054.0,DOID:9970,0,2,treat
panax,stroke,4054.0,DOID:6713,0,2,treat
papaya,prostate cancer,3649.0,DOID:10283,0,15,treat
pear,diabetes mellitus,23211.0,DOID:9351,0,2,treat
pear,metabolic diseases,23211.0,DOID:0014667,0,2,treat
piper nigrum,cancers,13216.0,DOID:162,0,15,treat
pisum sativum,anemia,3888.0,DOID:2355,0,2,treat
pisum sativum,asthma,3888.0,DOID:2841,0,2,treat
pisum sativum,measles,3888.0,DOID:8622,0,2,treat
pisum sativum,syphilis,3888.0,DOID:4166,0,2,treat
pisum sativum,yellow fever,3888.0,DOID:9682,0,2,treat
pomegranate,colon cancer,22663.0,DOID:219,0,10,treat
pomegranate,liver cancer,22663.0,DOID:3571,0,9,treat
pomegranate,prostate cancer,22663.0,DOID:10283,0,5,treat
potato,renal cell carcinoma,4113.0,DOID:4450,0,20,treat
prickly pear,diabetes,106975.0,DOID:9351,0,3,treat
prunus,diarrhea,3754.0,DOID:13250,0,3,treat
punica granatum,cystitis,22663.0,DOID:1679,0,3,treat
punica granatum,diarrhea,22663.0,DOID:13250,0,2,treat
punica granatum,psoriasis,22663.0,DOID:8893,0,3,treat
raphanus sativus,anemia,3726.0,DOID:2355,0,2,treat
raphanus sativus,asthma,3726.0,DOID:2841,0,2,treat
raphanus sativus,measles,3726.0,DOID:8622,0,2,treat
rice,atopic dermatitis,4530.0,DOID:3310,0,3,treat
rice,celiac disease,4530.0,DOID:10608,0,2,treat
rice,diabetes,4530.0,DOID:9351,0,3,treat
saffron,asthma,82528.0,DOID:2841,0,3,treat
saffron,cancers,82528.0,DOID:162,0,30,treat
sisymbrium,anemia,3729.0,DOID:2355,0,2,treat
sisymbrium,asthma,3729.0,DOID:2841,0,2,treat
sisymbrium,measles,3729.0,DOID:8622,0,2,treat
sisymbrium,syphilis,3729.0,DOID:4166,0,2,treat
sisymbrium,yellow fever,3729.0,DOID:9682,0,2,treat
soy bean,pancreatitis,3847.0,DOID:4989,0,4,treat
strawberry,hypertension,3747.0,DOID:10763,0,2,treat
sweet potato,malignant tumor,4120.0,DOID:162,0,2,treat
sweet potato,renal cell carcinoma,4120.0,DOID:4450,0,20,treat
tea,breast cancer,4442.0,DOID:1612,0,10,treat
tea,colon cancer,4442.0,DOID:219,0,9,treat
tea,colorectal cancer,4442.0,DOID:9256,0,3,treat
tea,coronary disease,4442.0,DOID:3393,0,8,treat
tea,dementia,4442.0,DOID:1307,0,3,treat
tea,diabetes,4442.0,DOID:9351,0,8,treat
tea,hypertension,4442.0,DOID:10763,0,5,treat
tea,liver disease,4442.0,DOID:409,0,2,treat
tea,metabolic syndrome,4442.0,DOID:0014667,0,2,treat
tea,obesity,4442.0,DOID:9970,0,13,treat
tea,osteoporosis,4442.0,DOID:11476,0,2,treat
tea,stroke,4442.0,DOID:6713,0,4,treat
thistle,Type 2 diabetes mellitus,41549.0,DOID:9352,0,6,treat
thistle,liver diseases,41549.0,DOID:409,0,9,treat
thistle,nonalcoholic steatohepatitis,41549.0,DOID:0080547,0,6,treat
trigonella foenum-graecum,diabetes,78534.0,DOID:9351,0,14,treat
triticum aestivum,diarrhea,4565.0,DOID:13250,0,2,treat
turmeric,liver cancer,136217.0,DOID:3571,0,45,treat
vaccinium macrocarpon,psoriasis,13750.0,DOID:8893,0,3,treat
vaccinium macrocarpon,urinary tract infections,13750.0,DOID:13148,0,4,treat
vaccinium vitis-idaea,obesity,180772.0,DOID:9970,0,4,treat
watermelon,hypertension,3654.0,DOID:10763,0,8,treat
watermelon,prostate cancer,3654.0,DOID:10283,0,5,treat
wheat,neural tube defects,4564.0,DOID:0080074,0,5,treat
wheat,spina bifida,4564.0,DOID:0080016,0,2,treat
zea mays,celiac disease,4577.0,DOID:10608,0,2,treat
zingiber officinale,analgesia,94328.0,DOID:0060145,0,2,treat
zingiber officinale,arthritis,94328.0,DOID:848,0,4,treat
zingiber officinale,bronchitis,94328.0,DOID:6132,0,3,treat
zingiber officinale,cancers,94328.0,DOID:162,0,16,treat
zingiber officinale,colorectal cancer,94328.0,DOID:9256,0,5,treat
zingiber officinale,constipation,94328.0,DOID:2089,0,7,treat
zingiber officinale,dementia,94328.0,DOID:1307,0,4,treat
zingiber officinale,diabetes mellitus,94328.0,DOID:9351,0,4,treat
zingiber officinale,diarrhea,94328.0,DOID:13250,0,10,treat
zingiber officinale,diarrhoea,94328.0,DOID:13250,0,2,treat
zingiber officinale,dysentery,94328.0,DOID:12384,0,3,treat
zingiber officinale,gastrointestinal diseases,94328.0,DOID:77,0,2,treat
zingiber officinale,gastrointestinal disorders,94328.0,DOID:77,0,5,treat
zingiber officinale,helminthiasis,94328.0,DOID:883,0,4,treat
zingiber officinale,hepatoma,94328.0,DOID:684,0,2,treat
zingiber officinale,hyperglycemia,94328.0,DOID:4195,0,6,treat
zingiber officinale,hypertension,94328.0,DOID:10763,0,7,treat
zingiber officinale,infectious diseases,94328.0,DOID:0050117,0,4,treat
zingiber officinale,motion sickness,94328.0,DOID:2951,0,2,treat
zingiber officinale,obesity,94328.0,DOID:9970,0,5,treat
zingiber officinale,type 2 diabetes mellitus,94328.0,DOID:9352,0,3,treat
zingiber officinale,ulcerative colitis,94328.0,DOID:8577,0,2,treat
