term1,term2,ncbi_taxonomy_id,omim_disease,is_cause,is_treat,relation
agaricus bisporus,allergic rhinitis,5341.0,OMIM:607154,6,0,cause
agaricus bisporus,asthma,5341.0,OMIM:600807,6,0,cause
allium cepa,asthma,4679.0,OMIM:600807,3,0,cause
apple,OAS,283210.0,OMIM:206920,6,0,cause
banana,asthma,4641.0,OMIM:600807,6,0,cause
banana,pancreatitis,4641.0,OMIM:167800,3,0,cause
barley,Celiac Disease,4513.0,OMIM:611598,12,0,cause
barley,Celiac disease,4513.0,OMIM:611598,83,0,cause
barley,asthma,4513.0,OMIM:600807,4,0,cause
barley,autoimmune disease,4513.0,OMIM:109100,2,0,cause
barley,autoimmune disorder,4513.0,OMIM:109100,20,0,cause
barley,celiac disease,4513.0,OMIM:611598,7,0,cause
barley,coeliac disease,4513.0,OMIM:611598,6,0,cause
barley,osteoporosis,4513.0,OMIM:166710,11,0,cause
chicken,obesity,9031.0,OMIM:601665,2,0,cause
chicory,asthma,13427.0,OMIM:600807,4,0,cause
coffee,acne,13442.0,OMIM:604324,33,0,cause
crab,allergic rhinitis,6752.0,OMIM:607154,3,0,cause
garlic,hemolytic anemia,4682.0,OMIM:266120,5,0,cause
hazelnut,OAS,13450.0,OMIM:206920,2,0,cause
hordeum vulgare,asthma,4513.0,OMIM:600807,2,0,cause
peach,OAS,3760.0,OMIM:206920,6,0,cause
peanut,atopic dermatitis,3818.0,OMIM:603165,3,0,cause
potato,asthma,4113.0,OMIM:600807,2,0,cause
rabbit,atopic dermatitis,9979.0,OMIM:603165,3,0,cause
rice,asthma,4530.0,OMIM:600807,6,0,cause
rosemary,asthma,39367.0,OMIM:600807,3,0,cause
rye,Celiac Disease,4550.0,OMIM:611598,6,0,cause
rye,Celiac disease,4550.0,OMIM:611598,22,0,cause
rye,autoimmune disorder,4550.0,OMIM:109100,2,0,cause
rye,celiac disease,4550.0,OMIM:611598,13,0,cause
rye,coeliac disease,4550.0,OMIM:611598,6,0,cause
tea,acne,4442.0,OMIM:604324,9,0,cause
triticum aestivum,Celiac disease,4565.0,OMIM:611598,5,0,cause
turkey,Gastric cancer,9103.0,OMIM:613659,7,0,cause
wheat,Celiac Disease,4564.0,OMIM:611598,6,0,cause
wheat,Celiac disease,4564.0,OMIM:611598,60,0,cause
wheat,Coeliac disease,4564.0,OMIM:611598,6,0,cause
wheat,asthma,4564.0,OMIM:600807,2,0,cause
wheat,autoimmune disease,4564.0,OMIM:109100,2,0,cause
wheat,autoimmune disorder,4564.0,OMIM:109100,26,0,cause
wheat,coeliac disease,4564.0,OMIM:611598,13,0,cause
wheat,osteoporosis,4564.0,OMIM:166710,11,0,cause
